No	Periode	Inflasi
1	Agustus 2023	14,375
2	Juli 2023	13,05555556
3	Juni 2023	16,11111111
4	Mei 2023	400
5	April 2023	18,95833333
6	Maret 2023	23,40277778
7	Februari 2023	24,09722222
8	Januari 2023	22,77777778
9	Desember 2022	24,375
10	November 2022	23,75
11	Oktober 2022	25,76388889
12	September 2022	27,43055556
13	Agustus 2022	21,45833333
14	Juli 2022	23,19444444
15	Juni 2022	19,09722222
16	Mei 2022	16,31944444
17	April 2022	15,76388889
18	Maret 2022	12,77777778
19	Februari 2022	8,75
20	Januari 2022	9,583333333
21	Desember 2021	10,20833333
22	November 2021	9,375
23	Oktober 2021	8,75
24	September 2021	4,583333333
25	Agustus 2021	8,263888889
26	Juli 2021	7,777777778
27	Juni 2021	6,458333333
28	Mei 2021	8,888888889
29	April 2021	7,083333333
30	Maret 2021	6,736111111
31	Februari 2021	6,805555556
32	Januari 2021	7,986111111
33	Desember 2020	8,888888889
34	November 2020	8,263888889
35	Oktober 2020	7,222222222
36	September 2020	7,083333333
37	Agustus 2020	6,388888889
38	Juli 2020	7,916666667
39	Juni 2020	10,83333333
40	Mei 2020	9,652777778
41	April 2020	12,98611111
42	Maret 2020	15
43	Februari 2020	15,13888889
44	Januari 2020	13,05555556
45	Desember 2019	13,33333333
46	November 2019	300
47	Oktober 2019	13,40277778
48	September 2019	15,20833333
49	Agustus 2019	15,90277778
50	Juli 2019	14,72222222
51	Juni 2019	14,44444444
52	Mei 2019	14,72222222
53	April 2019	14,09722222
54	Maret 2019	11,66666667
55	Februari 2019	12,29166667
56	Januari 2019	14,02777778
57	Desember 2018	13,40277778
58	November 2018	14,09722222
59	Oktober 2018	13,61111111
60	September 2018	14,44444444
61	Agustus 2018	12,63888889
62	Juli 2018	13,75
63	Juni 2018	13,33333333
64	Mei 2018	14,09722222
65	April 2018	15,34722222
66	Maret 2018	12,77777778
67	Februari 2018	13,75
68	Januari 2018	14,23611111
69	Desember 2017	16,73611111
70	November 2017	12,70833333
71	Oktober 2017	16,52777778
72	September 2017	17,5
73	Agustus 2017	18,19444444
74	Juli 2017	18,61111111
75	Juni 2017	19,23611111
76	Mei 2017	18,95833333
77	April 2017	17,84722222
78	Maret 2017	16,73611111
79	Februari 2017	18,26388889
80	Januari 2017	15,90277778
81	Desember 2016	12,63888889
82	November 2016	16,52777778
83	Oktober 2016	14,65277778
84	September 2016	12,98611111
85	Agustus 2016	13,81944444
86	Juli 2016	13,95833333
87	Juni 2016	15,625
88	Mei 2016	14,79166667
89	April 2016	12,91666667
90	Maret 2016	19,79166667
91	Februari 2016	19,58333333
92	Januari 2016	17,63888889
93	Desember 2015	14,93055556
94	November 2015	22,84722222
95	Oktober 2015	26,73611111
96	September 2015	30,76388889
97	Agustus 2015	30,41666667
98	Juli 2015	30,97222222
99	Juni 2015	30,97222222
100	Mei 2015	30,20833333
101	April 2015	30,48611111
102	Maret 2015	27,63888889
103	Februari 2015	27,01388889
104	Januari 2015	31,66666667
105	Desember 2014	35,83333333
106	November 2014	26,59722222
107	Oktober 2014	22,43055556
108	September 2014	20,34722222
109	Agustus 2014	19,375
110	Juli 2014	20,34722222
111	Juni 2014	25,48611111
112	Mei 2014	31,38888889
113	April 2014	30,90277778
114	Maret 2014	31,38888889
115	Februari 2014	34,375
116	Januari 2014	34,86111111
117	Desember 2013	35,97222222
